央视卫视,#genre#
北京卫视,http://8.146.211.219:2000/live_tv?pid=022a26f230b5b07ff0d065c5cc89f436
河北卫视,http://8.146.211.219:2000/live_tv?pid=3c490d9ff33b344f371361da20be4396
辽宁卫视,http://8.146.211.219:2000/live_tv?pid=5cd7ed9dd8b772964bca7aa6fac6d620
安徽卫视,http://8.146.211.219:2000/live_tv?pid=6d2a7793f00589ba8f625011cd34f01d
山西卫视,http://8.146.211.219:2000/live_tv?pid=fb0b7e07441c88ccb9c92d7baaccec08
黑龙江卫视,http://8.146.211.219:2000/live_tv?pid=70605471493264054143727f8640b7c5
新疆卫视,http://8.146.211.219:2000/live_tv?pid=b4b2d97ebb51b5adf98809573e033907
海南卫视,http://8.146.211.219:2000/live_tv?pid=66a6b407789ded323b35ebc5db78b74e
广东卫视,http://8.146.211.219:2000/live_tv?pid=28a176e79a1828a83d43d4c4f4e14ed9
吉林卫视,http://8.146.211.219:2000/live_tv?pid=a6367362123a8d781b8fcebf67670986
四川卫视,http://8.146.211.219:2000/live_tv?pid=bd74d6fdd584b6dc503b76a657153bb9
深圳卫视,http://8.146.211.219:2000/live_tv?pid=f879fa3d3909d9d99432d184e74f761c
江西卫视,http://8.146.211.219:2000/live_tv?pid=86c5301b9123c19239888db2cab80a6f
陕西卫视,http://8.146.211.219:2000/live_tv?pid=9376ac6da7c91dafa98b01f0f7f53d88
湖北卫视,http://8.146.211.219:2000/live_tv?pid=c8bfc3df66e15c2db2daa8b15748e6b2
河南卫视,http://8.146.211.219:2000/live_tv?pid=f137695595b3689c92eaccdbcfcbcdd0
青海卫视,http://8.146.211.219:2000/live_tv?pid=1c849ac1243a9189210363e5560843c4
云南卫视,http://8.146.211.219:2000/live_tv?pid=a1b596324801110aa9b3db5abffec6f9
贵州卫视,http://8.146.211.219:2000/live_tv?pid=30e0c66e051a288e9453310bbddfe801
广西卫视,http://8.146.211.219:2000/live_tv?pid=4bb957b93c1bc3c2bfa8e67a36e1bdd2
KAKU少儿,http://8.146.211.219:2000/live_tv?pid=0d446fa400447ca7318ffc299ec76420
哈哈炫动,http://8.146.211.219:2000/live_tv?pid=408163b3f24549d8c77d96b9b74b1f8a
重庆卫视,http://8.146.211.219:2000/live_tv?pid=c66c7465927fc787956a8609691e7282
内蒙古卫视,http://8.146.211.219:2000/live_tv?pid=15bbc87894c620724308ea89060a573a
甘肃卫视,http://8.146.211.219:2000/live_tv?pid=48e7eb38adfedb9ee2ecd51d2d82c571
宁夏卫视,http://8.146.211.219:2000/live_tv?pid=b1795175d0f2bf5c54475beb46204c45
西藏卫视,http://8.146.211.219:2000/live_tv?pid=6e834c7950e3d3f27ce204942e300c9c
兵团卫视,http://8.146.211.219:2000/live_tv?pid=255ec614ba380dd89ebe90955c01c0a3
天津新闻,http://8.146.211.219:2000/live_tv?pid=a3faccdeb54e9eecea5b78904e22bae8
天津体育,http://8.146.211.219:2000/live_tv?pid=577528cebc026f64c6ec8e036b90d8bf

网络频道1,#genre#
матч! планета_a,http://8.146.211.219:2000/live_tv?pid=8a1ed5c1b1ed884885f21612484f0e89
матч! премьер_o,http://8.146.211.219:2000/live_tv?pid=210c6191efb6fe6e24f2314d4c212ded
матч! страна hd_e,http://8.146.211.219:2000/live_tv?pid=0bb60afc3d567001c3384341bd87890f
матч! футбол 1 hd_l,http://8.146.211.219:2000/live_tv?pid=d76917184862a8b2f89745557ca268e5
мир белогорья_q,http://8.146.211.219:2000/live_tv?pid=0216ce6733ad57c687822f1411674dbc
мистер бин_q,http://8.146.211.219:2000/live_tv?pid=69f00780d3ed3550e053145d965cf85f
мода 1_e,http://8.146.211.219:2000/live_tv?pid=48ca99fd2ff73135b786790bc775776d
мода 2_j,http://8.146.211.219:2000/live_tv?pid=bf611a3a3baf6a6b66767dbfef9ffd2e
мода 3_k,http://8.146.211.219:2000/live_tv?pid=bb892a3426a5c491fb82fdeb81e83b41
мода 4_l,http://8.146.211.219:2000/live_tv?pid=270c274d393b1e043d2d850d8ce4e22f
москва 24_r,http://8.146.211.219:2000/live_tv?pid=f9d39c59da85f6b089c5701e94736f19
моя планета_s,http://8.146.211.219:2000/live_tv?pid=63b34eb82e409f447cfe04a95d2f754b
мужской_t,http://8.146.211.219:2000/live_tv?pid=d870d263db90417e1bd2d3820d6d61c8
музсоюз_o,http://8.146.211.219:2000/live_tv?pid=bc87d3e2a451b78cbec52ed14d91d357
музыка 1 international_k,http://8.146.211.219:2000/live_tv?pid=65acaab313522a07a7be6d10cc427b03
музыка 2 international_j,http://8.146.211.219:2000/live_tv?pid=4ff8fa392b04c17eb37052efa4e3379e
музыка кино international_i,http://8.146.211.219:2000/live_tv?pid=a7ebe9194b8936a06d2f07f1976149cb
мульт и музыка_a,http://8.146.211.219:2000/live_tv?pid=048098472aa84690d35f951efd9bb9d8
мультсказки_j,http://8.146.211.219:2000/live_tv?pid=a28231bb82e24b3ff71148f7139a0686
мүонт-1_m,http://8.146.211.219:2000/live_tv?pid=3e0d07716d33e021ea91d8c20d37a240
надежда_h,http://8.146.211.219:2000/live_tv?pid=35ded874b74191bfb4bb32574f08f30c
наш спорт 01_i,http://8.146.211.219:2000/live_tv?pid=263105f96be5422b239173fbb2fae6d0
наш спорт 01_z,http://8.146.211.219:2000/live_tv?pid=9d24fa10e4175537a6dca3dae0dc362b
наш спорт 02_s,http://8.146.211.219:2000/live_tv?pid=a3d11440be0352a0dce72245d287e8a0
наш спорт 03_j,http://8.146.211.219:2000/live_tv?pid=ad2c784428f13b813cf46478c754ba55
наш спорт 04_w,http://8.146.211.219:2000/live_tv?pid=e83b12f640a340c92eba170decc7f808
наш спорт 06_w,http://8.146.211.219:2000/live_tv?pid=324b5c67a055ad8c33f615bdad4447d2
наш спорт 07_n,http://8.146.211.219:2000/live_tv?pid=8f3eb93df3d5c915c3fc842183af8ba6
наш спорт 07_p,http://8.146.211.219:2000/live_tv?pid=a21793010e25fe1b71814576e55f2667
наш спорт 08_x,http://8.146.211.219:2000/live_tv?pid=9a8828e83192c7eeb99fa8e1aefd1133
наш спорт 10_a,http://8.146.211.219:2000/live_tv?pid=72ff33c842167283e602a8ce174fae58
наш спорт 10_d,http://8.146.211.219:2000/live_tv?pid=2fb066ef64355dc83d8a9374c81ff362
наш спорт 11_i,http://8.146.211.219:2000/live_tv?pid=003941053a9b77549a6337882f9db104
